id,type,question,options,correctAnswer
81,single_choice,"One assessment of a project's value is calculated by the:","DVT|PMT|ROI|PPT",2
82,single_choice,"Bumpy rollouts of ERP systems are usually caused by:","software problems|people problems|hardware problems|configuration problems",1
83,fill_blank,"____________________ states that the number of transistors on a computer chip doubles every 24 months.","",moore's law
84,fill_blank,"A central-local computer arrangement is called ____________________ architecture.","",client server
85,fill_blank,"____________________ means that the capacity of a piece of equipment can be increased by adding new hardware.","",scalable
86,fill_blank,"The software that holds that data in an organized fashion, and that allows for the easy retrieval of data, is the ____________________.","",DBMS database management system
87,fill_blank,"____________________ software allows a plant manager to plan production and raw materials requirements by working backward from the sales forecast.","",MRP material requirement planning
88,fill_blank,"The prediction of future sales is the ____________________.","",sale forecast
89,fill_blank,"____________________ is the direct computer-to-computer exchange of standard business documents.","",EDI electronic data integration
90,fill_blank,"Originally, in English, SAP was an acronym for ____________________.","",system analysis and program development
91,fill_blank,"In ____________________, third-party software companies are encouraged to develop add-on software products that can be integrated with existing software.","",open architecture
92,fill_blank,"Old systems are known as __________________.","",legacy system
93,fill_blank,"SAP's biggest competitor is ____________________.","",oracle
94,fill_blank,"The ____________________ records sales orders and scheduled deliveries. Information about the customer (pricing, address and shipping instructions, billing details, and so on) is maintained and accessed from this module.","",SD sales and distribution
95,fill_blank,"When data are entered into the system, data in all related files in the ____________________ are automatically updated.","",central database
96,fill_blank,"R/3's design incorporates ____________________, which means that R/3 designers choose the best, most efficient ways in which business processes should be handled.","",best practices
97,fill_blank,"SAP's internal programming language is ____________________.","",advanced business application programming
98,fill_blank,"____________________ help businesses customize the software to fit their unique needs.","",configuration
99,fill_blank,"An assessment of an investment's project value that is calculated by dividing the value of the project's benefits by the value of the project's cost is known as a(n) ____________________.","",ROI return on investment
100,true_false,"In SAP R/3, relatively permanent data about customers is kept in the Customer Master Data table.","True|False",0
101,true_false,"In SAP R/3, relatively permanent data about inventory is kept in the Material Master Data table.","True|False",0
102,true_false,"In SAP R/3, relatively permanent data in the Material Master Data table is available to only one module, the Materials Management module.","True|False",1
103,true_false,"In SAP R/3, relatively permanent data about customers in the Customer Master Data table is available to only the Sales and Distribution module.","True|False",1
104,true_false,"SAP R/3's system allows one to group customers, which is commonly known as an ""organizational structure"".","True|False",0
105,true_false,"In SAP R/3, the linked set of document numbers is called the ""document flow"".","True|False",0
106,true_false,"In SAP R/3 the electronic evidence of a transaction is called a document.","True|False",0
107,true_false,"The first step in the SAP ERP sales and distribution process is the Sales Order Processing step.","True|False",1
108,true_false,"Pricing cannot be set or configured in the SAP ERP system.","True|False",1
109,true_false,"Pricing can be set using condition techniques.","True|False",0
110,true_false,"CRM software stands for Custom Resource Management. This is a specialized type of ERP.","True|False",1
111,true_false,"Global ATP allows for searching of a particular product at multiple plants worldwide.","True|False",0
112,true_false,"Returned products to a company are processed more efficiently if the customer first calls for a RMA.","True|False",0
113,true_false,"An inquiry in the SAP ERP system occurs in the Delivery step of the Sales and Distribution cycle.","True|False",1
114,true_false,"In the SAP ERP system, delivery means releasing the documents that the warehouse uses to pick, pack, and ship orders, rather than the traditional definition of transferring goods.","True|False",0
115,true_false,"The PO Number is a number assigned by a company to track orders in the SAP ERP system.","True|False",1
116,true_false,"With on-demand CRM, the software and computer equipment reside with the CRM provider; it is not installed in-house.","True|False",0
117,fill_blank,"In SAP ERP the electronic evidence of a transaction is called a(n) ____.","",document
118,fill_blank,"A customer calls up to find out how much 1000 units of a product would cost. This is an example of ____ in the sales and distribution process.","",presales activities
119,fill_blank,"A customer is granted a 10% price discount in a large order. This is an example of an activity in ____ in the sales and distribution process.","",sales order processing
120,fill_blank,"A customer's order is checked to see if it can be produced and delivered by the requested date. This is an example of ____ in the sales and distribution process.","",inventory sourcing
121,fill_blank,"A customer's documents are released to the warehouse so that the goods can be gathered, packed and boxed. This is an example of ____ in the sales and distribution process.","",delivery and billing
122,fill_blank,"A customer's remittance causes Cash to be debited and Accounts Receivable to be credited. This is an example of ____ in the sales and distribution process.","",payment
123,fill_blank,"In SAP ERP, the history of a transaction (such as a sales order) can be researched by looking at its ____.","",document flow
124,fill_blank,"What kind of software can give top management an overview of a company's complete relationship with a customer?","",Customer Relationship Management Software
125,fill_blank,"In the sales order process, there is a number used in the SAP ERP sales order that in a paper process would be pre-printed on the sales document, usually in sequential number order. It's assigned by the customer to the sales order. What is this number?","",Purchase Order Number
126,fill_blank,"Setting prices for customers can be very complex. SAP helps by offering a control mechanism, called ____, to determine how much to charge a given customer for a given product.","",condition technique
127,fill_blank,"The ____ system communicates with SAP ERP, BW, and APO systems in developing and executing its plans.","",CRM
128,fill_blank,"What software can automatically route customers who contact the company to a sales representative? Companies can use this software to forecast customer needs.","",Sales force automation
129,fill_blank,"The SAP ERP system allows users to define various ways to group customers and salespeople. These groups are called ____.","",organizational structures
130,fill_blank,"In ____ CRM, the software and equipment reside with the CRM provider; it is not installed in-house.","",on-demand
131,fill_blank,"Which of the following are benefits to CRM?","",All of the above
132,fill_blank,"The goal of ____________________ software is to provide a ""single face to the customer.""","",CRM (customer relationship management)
133,fill_blank,"With global____________________, the R/3 system automatically checks all facilities and determines the most cost-efficient facility to use to meet the customer's request in terms of ordering and delivering goods.","",Available-To-Promise
134,fill_blank,"Briefly describe four kinds of decisions made by Marketing managers.","","What products should we produce? How much of each product should we produce? How are our products best promoted and advertised? How should our products be distributed for maximum customer satisfaction? What price should we charge for our products?"
135,fill_blank,"In SAP ERP a sales order is entered only once, by the sales people. It need not be entered a second time, in Accounting, to keep the books. Briefly explain why that second entry is not needed in SAP R/3.","","By contrast, ERP systems integrate Accounting with all business processes, so that when a sales order is recorded, the related accounting data is updated automatically."
136,fill_blank,"Briefly describe two CRM activities.","","One-to-one marketing: Once a customer is categorized, the company can tailor products, promotions, and pricing accordingly. Sales force automation: Occurrences of customer contacts are logged in the company's database. Sales campaign management: This software lets a company organize a marketing campaign and compile its results. Marketing Encyclopedias: This software serves as a database of promotional literature about products. Call center automation: When customers call a company to get assistance with a company's products, representatives can query a knowledge management database containing information about the product."
137,fill_blank,"What does the term Delivery mean in the SAP R/3 system?","","In the SAP R/3 system, the word delivery means releasing the documents that the warehouse uses to pick, pack, and ship orders, rather than the traditional use of the term to describe the transferal of goods."
138,fill_blank,"What are the three benefits of CRM?","","Lower costs Higher revenue Improved strategy and performance measurement"
139,true_false,"An ERP system is a good tool for developing and executing production plans because it integrates the function of production planning, purchasing, materials management/warehousing, quality management, sale, and accounting.","True|False",0
140,true_false,"Production planners aggregate products into product groups to make forecasts and plans more accurate.","True|False",1
141,true_false,"The Sales and Operations Planning process is used to combine the sales forecast with capacity information to determine a production plan for finished goods.","True|False",0
142,true_false,"Demand Management is the process where sales forecasts are adjusted to incorporate the impact of marketing initiatives.","True|False",1
143,true_false,"The MRP process determines the schedule of finished goods production.","True|False",1
144,true_false,"The term supply chain describes all the activities required to move raw material from inventory to manufacturing for the purpose of producing a product.","True|False",1
145,true_false,"In a traditional supply chain, demand information is transmitted rapidly to all members of the supply chain.","True|False",1
146,true_false,"ERP systems are necessary to implement good supply chain management.","True|False",1
147,true_false,"The percentage of the order that the supplier provides in the first shipment is known as the first-rate.","True|False",1
148,true_false,"Make to order items are produced to fill customer's requests.","True|False",0
149,true_false,"The cost it normally takes to manufacture a product, which is usually derived from historical data and any changes that have occurred since then, is known as a structured cost.","True|False",1
150,true_false,"Rough-cut planning is a common term in manufacturing for aggregate planning.","True|False",0
151,true_false,"The production plan for all finished goods is known as the MPS, or the master production schedule.","True|False",0
152,true_false,"Another term for the list of ingredients required to make a product is the bill of materials.","True|False",0
153,true_false,"Lead times and lot sizing help a company determine the transfer of goods to the customer.","True|False",1
154,true_false,"Because Fitter Snacker uses large quantities of oats, the most cost-effective way to purchase oats is to buy a farm and grown them.","True|False",1
155,true_false,"After material requirements are entered into the system, the program automatically turns the planned orders into purchase orders without further input from planners.","True|False",1
156,true_false,"The percentage of the order that the supplier provided in the first shipment is known as the initial order lead time.","True|False",1
157,true_false,"The initial fill rate measures the time needed for the supplier to fill the order.","True|False",1
158,fill_blank,"A make-to-stock production system is where:","",items are made for inventory in anticipation of sales orders.
159,fill_blank,"An unexpected increase in product demand can lead to:","",all of the above
160,fill_blank,"The Fitter Snacker company sold 6,435 cases of snack bars in June of the previous year. They are expecting sales to increase by 3% this year. In addition, they are launching a promotional campaign in May, which they expect will increase sales in June by an additional 500 cases. What is the sales forecast for June of this year that Fitter Snacker should use?","",7128
161,fill_blank,"Fitter Snacker can produce 333.3 cases of snack bars per day during the standard 8-hour work week. They can work 2 hours of overtime per weekday, plus 4 hours on Saturday. They are developing an SOP for a month with 23 weekdays and 4 Saturdays. What is the maximum number of cases that Fitter Snacker can produce in the month if they schedule workers for overtime on weekdays only?","",9582
162,fill_blank,"On weekday overtime, they can produce 1.25 times the normal output, or (1.25)(333.3) = 416.6. In 23 days, they can produce (416.6)(23) = 9,581.8 cases, which rounds to 9,582. Adding in Saturdays is equivalent to two additional days of regular production, or (2)(333.3) = 666.6. The total time available is 9,582 + 666 = 10,248.6, which rounds to 10,249. What is the maximum number of cases they can product in the month if they schedule workers for overtime on weekdays and Saturdays?","",10249
163,fill_blank,"The production plan at Fitter Snacker calls for 4,134 cases of snack bars in January. If there are 22 days in the month, how many cases of snack bars should be produced in a 4-day week?","",752
164,fill_blank,"What Planned Orders will the MRP logic create?","",An order for 44000 units in week 2
165,fill_blank,"Immediately after MRP is run in SAP ERP:","",the stock/requirements list and MRP list are both updated and show the same information.
166,fill_blank,"In detailed scheduling, longer production runs of a particular product:","","increases the available capacity by reducing the frequency of setups. increases finished goods inventory levels."
167,fill_blank,"The order of the steps in the SAP R/3 production planning process are:","","Sales Forecasting, Sales and Operations Planning, Demand Management, MRP, Purchasing, Detailed scheduling, Production"
168,fill_blank,"The production plan for Fitter Snacker calls for 7000 cases of the snack bar product group in June. If the snack bar product group consists of NRG-A bars and NRG-B bars with the proportion 70% NRG-A bars and 30% NRG-B bars, how many NRG-A bars should be produced in June?","",4900
169,fill_blank,"The costs normally required to manufacture a product, which are calculated from historical costs and any changes from that, are known as ____.","",standard costs
170,fill_blank,"____ are disaggregated to generate detailed production schedules.","",Rough-cut plans
171,fill_blank,"What is the production plan for all finished goods?","",MPS - master production schedule
172,fill_blank,"What process answers the question ""What do we need to order to produce the product, and when do we need to order these raw materials?""","",MRP - materials requirements planning
173,fill_blank,"What metric tracks the number of times a supplier meets the agreed upon delivery date?","",on-time performance
174,fill_blank,"In the accompanying figure, which shows the SAP ERP production planning process, what is A?","",Sales Forecasting
175,fill_blank,"In the accompanying figure, which shows the SAP ERP production planning process, what is B?","",Starting Inventory
176,fill_blank,"In the accompanying figure, which shows the SAP ERP production planning process, what is C?","",Detailed Scheduling
177,fill_blank,"In the accompanying figure, which shows the SAP ERP production planning process, what is D?","",MRP
178,fill_blank,"What stage of the production planning process splits Fitter Snacker's monthly production planning values into finer time periods?","",Demand Management
179,fill_blank,"The ____________________, shown in the accompanying figure for Fitter Snacker, is a list of the materials needed to make NRG-A and NRG-B bars.","",BOM (Bill of Materials
180,fill_blank,"____________________ refers to the process of determining production quantities (for raw materials produced in-house) and order quantities (for purchased items).","",Lot sizing
181,true_false,"An income statement shows a company's profit or loss in a period of time.","True|False",0
182,true_false,"When a company has an ERP system, it no longer needs a general ledger.","True|False",1
183,true_false,"In the SAP ERP system, input to the general ledger occurs simultaneously with the business transaction in the specific module. Many SAP ERP modules cause transaction data to be entered into the general ledger.","True|False",0
184,true_false,"When a company has an ERP system, the general ledger is maintained by the ERP system.","True|False",0
185,true_false,"The SAP ERP system has a module called Accounting and Finance.","True|False",1
186,true_false,"In SAP ERP access to general ledger accounts is spread over many modules.","True|False",0
187,true_false,"The cost of heating the plant would be considered part of manufacturing overhead.","True|False",0
188,true_false,"Using standard costs to accumulate manufacturing costs means that the company does not have to keep track of actual manufacturing costs.","True|False",1
189,true_false,"If actual costs in the month equaled standard costs, no balance sheet or income statement adjustments would be needed. Actual costs never exactly equal expected costs, however, so adjustments are almost always needed. The differences between actual costs and standard costs are called cost variances.","True|False",0
190,true_false,"Activity-based costing treats overhead costs as more direct than traditional cost-accounting methods have treated them.","True|False",0
191,true_false,"In activity-based costing, overhead costs are assigned to products based on the manufacturing activities that gave rise to the costs.","True|False",0
192,true_false,"ERP systems help in resolving conflicts in goals, standardizing basic processes, and controlling product costs.","True|False",0
193,true_false,"Having ERP will require a company to restrict the number of cost allocation bases.","True|False",1
194,true_false,"In an ERP system, data does not flow from one module to another.","True|False",0
195,true_false,"The term drill down refers to the ability to view the details behind a summary of information.","True|False",0
196,true_false,"With an ERP system, the job of tracking all the data required for a financial report can be a monumental undertaking.","True|False",1
197,true_false,"A Business Warehouse system is a completely separate information system that extracts data from the ERP system.","True|False",0
198,true_false,"The U.S. Congress passed the Sarbanes-Oxley Act of 2002 in response to the fraud and abuse in the Enron collapse.","True|False",0
199,true_false,"The Sarbanes-Oxley Act requires that financial statements filed with the SEC include a statement signed by the chief executive officer and chief financial officer, certifying that the financial statement complies with the SEC rules.","True|False",1
200,true_false,"It is very easy to delete items in the ERP system.","True|False",1
201,true_false,"SAP ERP has sophisticated user administration tools that allow different levels of authorization management, to ensure that employees can perform only the transactions required for their jobs.","True|False",0
202,true_false,"Tolerance groups make sure employees do not exceed their authority in financial transactions.","True|False",0
203,true_false,"Another name for an income statement is a profit and loss statement.","True|False",0
204,true_false,"n an ERP system, the balance sheet and P&L statements are database reports.","True|False",0
205,true_false,"Managerial accounting deals with determining the costs and profitability of the company's activities.","True|False",0
206,true_false,"In the SAP ERP system, inputs to the general ledger occur simultaneously with input of business transactions to the various modules.","True|False",0
207,true_false,"The key feature of any ERP system is the ability to drill down from a report to the source documents (transactions) that created it.","True|False",0
208,single_choice,"The process of transferring balances for temporary or nominal accounts, such as revenue, expense, gain, and loss, to the retained earnings account is called ____.","cost accounting|account closure|periodic closure|closing the books|statement wrap-up",3
209,single_choice,"When finished goods are transferred from the assembly line to the warehouse, an employee in the warehouse records the transaction using a terminal or a barcode scanner. Which SAP ERP module records this change?","Materials Management|Asset Management|Sales and Distribution|Controlling",0
210,single_choice,"Which general ledger document tracks the amount of money that a customer owes for the goods received by the customer?","Balance sheet|Accounts receivable|Accounts payable|Income statement",1
211,single_choice,"Which financial statement shows account balances such as, cash held, amounts owed to the company by customers, the cost of raw materials and finished goods inventory?","Income statement|Balance sheet|Tolerance group|Year end report",1
212,single_choice,"Assume that a buyer calls a seller to order $3,000 worth of goods and her credit limit is $10,000. If the sellers accounts receivable for the customer is already $8,500, how much of the new order will be accepted?","The entire amount|$1,500 only|No amount|$10,000 only",1
213,single_choice,"What are the manufacturing costs that include factory utilities, general factory labor such as custodians or security guards, factory managers' salaries, storage, insurance, and other manufacturing-related costs?","Direct costs|Plant costs|Overhead costs|Manmade costs",2
214,single_choice,"In ____, activities associated with overhead cost generation are identified and then records are kept on the costs and on the activities.","activity-based costing|backoffice costing|run of the mill costing|plant operation costing",0
215,single_choice,"Each transaction in SAP ERP gets its own unique number, which acts as an index to the appropriate database table entries. This is known as ____.","document reference|document flow|auditing codes|unique codes",1
216,single_choice,"Figure 2 is Fitter Snacker's ____.","Balance Sheet|Income Statement|Credit Report|Document Flow",0
217,single_choice,"Figure 1 is Fitter Snacker's ____.","Balance Sheet|Income Statement|Credit Report|Document Flow",1
218,single_choice,"Another name for an income statement is a ____ statement.","credit|profit and loss|sales|revenue",1
219,single_choice,"In an ERP system, the balance sheet and P&L statements are ____.","generated yearly|not available|database reports|modules",2
220,single_choice,"What is the advantage to credit management in SAP ERP?","Marketing and Sales get weekly reports.|The data is in real-time.|Payments are posted daily.|There is no advantage.",1
221,single_choice,"If the cost of manufacturing NRG-A bars is $0.72 per bar, how much does FS need to charge to make a profit of $0.25?","$1.00|$0.99|$0.97|$1.25",2
222,single_choice,"What is the sum of direct materials, production overhead, and direct labor?","COGM - cost of goods manufactured|COGS - cost of goods sold|COGP - cost of goods produced|COGS - cost of goods shipped",0
223,single_choice,"Figure 3 is an example of ____.","Production Planning|MRP|Document Flow|Configuration Settings",2
224,single_choice,"The key pieces of information for cost analysis is the direct material costs and the ____.","direct labor cost|overhead cost|driver cost|selling cost",0
225,single_choice,"If Fitter Snacker's cost of making a case of bars is $209.82. There are 24 bars to a box and 12 boxes to a case. How much money does it cost Fitter Snacker to make each individual bar?","$17.49|$1.00|$8.74|$0.73",3
226,single_choice,"Any business events that occur between companies and their subsidiaries are known as ____________________.","intracompany transactions",0
227,single_choice,"With a properly configured and managed ERP system, there are direct links between the company's ____________________ and individual transactions that make up the statements, so that fraud and abuse can be detected more easily.","financial statements",0
228,true_false,"The task associated with managing a company's workforce is know as human capital management or HCM.","True|False",0
229,true_false,"The responsibilities of an HR department include manufacturing goods and purchasing raw materials.","True|False",1
230,true_false,"Ensuring that these tasks are accomplished and that valid human resources-related information is communicated throughout the organization requires a system that effectively controls the flow of information.","True|False",0
231,true_false,"Employee turnover is strongly tied to effective communications from human resources.","True|False",1
232,true_false,"Employee turnover is strongly tied to job satisfaction and compensation.","True|False",0
233,true_false,"Succession planning should be performed on every employee in the company.","True|False",1
234,true_false,"A succession plan outlines the strategy for replacing key employees when they leave the company or move to another position within the company. The success of a company depends in large part on the skills, abilities, and experience of its management team.","True|False",0
235,single_choice,"The tasks associated with managing a company's workforce is now known as ____.","human capital management|resource management|workforce management|hiring management",0
236,single_choice,"The job of managing salary and benefits provided to each employee and confirming that the proper benefits are disbursed to new and current employees falls under the ____ department.","Accounting and Finance|Human Resources|Individual|Administrative",1
237,single_choice,"To record employee working times, SAP ERP uses ____.","punched cards|RFIDs|CATS (cross application time sheets)|multiple databases",2
238,single_choice,"The parts of an employee's pay that is comprised of base pay, bonuses, gratuities, overtime, sick pay , and vacation allowances are known as ____.","payroll run|statutory deductions|voluntary deductions|remuneration elements",3
239,single_choice,"______ are skills or abilities associated with a position, while _______ are skills or abilities associated with a specific employee.","Qualifications; requirements|Requirements; qualifications|Duties; tasks|Tasks; duties",1
240,single_choice,"What is a plan for replacing key employees called?","Duty roster|Replacement circular|Succession plan|Reincarnation study",2
241,single_choice,"SAP's ERP helps the administration of employees taking time off under a government act that allows compensation for family and medical problems. This act, passed in 1993, is the ____.","FIA|QOTA|FMLA|PROBA",2
242,single_choice,"Which functional part of the organization communicates changes in salaries, benefits, and policies to employees?","Sales and Marketing|Supply Chain Management|Accounting and Finance|Human Resources",3
243,single_choice,"What is the source of Fitter Snacker's problems with Human Resources?","Inaccurate information|Out-of-date information|Inconsistent information|All of the above",3
244,single_choice,"What is the name of the group of candidates selected to be interviewed by Fitter Snacker for a particular position? For example, assume 20 applicants applied and only three were selected to be interviewed.","Short list|Select group|Final three|Applicants",0
245,single_choice,"What is probably the most important function of a human resources department?","Recruiting and hiring|Payroll processing|Benefits management|New hire training",1
246,single_choice,"SAP ERP provides an Organization and Staffing Plan tool that is used to define a company's ____ and the positions within the organizational structure as a whole.","management structure|benefits program|hiring process|job titles",0
247,single_choice,"The process of determining each employee's pay is called a ____.","payroll run|weekly round-up|cash-out|remunerations session",0
248,single_choice,"The SAP ERP system evaluates the input data to payroll and notes any discrepancies in a(n) ____.","payroll report|error log|discrepancy list|off-target list",1
249,single_choice,"An outgrowth of the ____ is that companies must account for the expected costs that occur as a result of long-term incentives such as the exercising of stock options.","Income Statement|Balance Sheet|Consolidated statements|Sarbanes-Oxley Act",3
250,single_choice,"Companies are increasingly aware of the importance of an experienced, well-trained workforce and have begun using the term human capital management (HCM) to describe the tasks associated with managing a company's workforce.","human capital management",0
